article,beta,se,isIntercept,Type,SD
songer1992wins,0.815,0.342,1,Dummy,NA
songer1992wins,0.223,0.047,0,Dummy,NA
songer1992wins,-0.081,0.041,0,Dummy,NA
songer1992wins,-0.217,0.203,0,Dummy,NA
songer1992wins,-0.619,0.21,0,Dummy,NA
songer1992wins,-0.456,0.248,0,Dummy,NA
songer1992wins,0.207,0.28,0,Dummy,NA
songer1992wins,0.432,0.139,0,Dummy,NA
songer1992wins,-0.488,0.15,0,Dummy,NA
songer1992wins,2.954,0.344,1,Dummy,NA
songer1992wins,0.414,0.064,0,Dummy,NA
songer1992wins,-0.034,0.064,0,Dummy,NA
songer1992wins,-0.187,0.194,0,Dummy,NA
songer1992wins,-1.498,0.204,0,Dummy,NA
songer1992wins,-0.711,0.275,0,Dummy,NA
songer1992wins,-0.651,0.645,0,Dummy,NA
songer1992wins,0.797,0.159,0,Dummy,NA
songer1992wins,-0.312,0.256,0,Dummy,NA
sheehan1992ideology,0.724,0.079,0,Dummy,NA
sheehan1992ideology,0.903,0.104,0,Dummy,NA
sheehan1992ideology,0.222,0.087,0,Dummy,NA
sheehan1992ideology,0.897,0.102,0,Dummy,NA
sheehan1992ideology,0.155,0.013,0,Continuous,NA
sheehan1992ideology,-0.018,0.032,0,Continuous,NA
sheehan1992ideology,-0.14,0.014,0,Continuous,NA
sheehan1992ideology,-0.079,0.016,0,Continuous,NA
sheehan1992ideology,0.094,0.062,0,Continuous,NA
sheehan1992ideology,0.231,0.043,0,Continuous,NA
sheehan1992ideology,0.257,0.058,0,Continuous,NA
sheehan1992ideology,0.072,0.083,0,Continuous,NA
songer1999haves,-0.74,0.11,1,Dummy,
songer1999haves,0.33,0.03,0,Continuous,
songer1999haves,-0.1,0.03,0,Continuous,
songer1999haves,-0.28,0.06,0,Dummy,
songer1999haves,0.47,0.05,0,Dummy,
songer1999haves,-0.98,0.34,1,Dummy,
songer1999haves,-0.85,0.47,1,Dummy,
songer1999haves,-0.72,0.26,1,Dummy,
songer1999haves,-1.46,0.25,1,Dummy,
songer1999haves,-0.39,0.16,1,Dummy,
songer1999haves,0.4,0.09,0,Continuous,
songer1999haves,0.2,0.11,0,Continuous,
songer1999haves,0.25,0.07,0,Continuous,
songer1999haves,0.48,0.07,0,Continuous,
songer1999haves,0.33,0.04,0,Continuous,
songer1999haves,-0.14,0.09,0,Continuous,
songer1999haves,-0.14,0.11,0,Continuous,
songer1999haves,-0.18,0.07,0,Continuous,
songer1999haves,0.04,0.06,0,Continuous,
songer1999haves,-0.14,0.04,0,Continuous,
